car,label,charges
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_263.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_17.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_273.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_233.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_303.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_297.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_374.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_129.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_67.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_186.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_403.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_404.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_276.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_292.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_102.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_396.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_112.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_312.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_377.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_277.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_297.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_399.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_303.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_250.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_180.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_256.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_67.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_252.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_136.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_192.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_312.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_125.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_302.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_386.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_401.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_12.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_372.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_309.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_7.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_217.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_335.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_88.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_200.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_226.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_54.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_191.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_208.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_170.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_21.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_352.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_45.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_78.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_3.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_360.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_38.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_158.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_32.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_54.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_50.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_168.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_390.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_44.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_136.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_19.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_47.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_336.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_179.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_288.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_43.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_45.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_125.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_198.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_210.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_192.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_260.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_17.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_20.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_236.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_156.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_321.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_284.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_299.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_133.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_14.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_99.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_85.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_115.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_380.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_153.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_141.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_356.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_145.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_8.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_186.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_292.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_68.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_383.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_18.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_166.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_164.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_91.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_112.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_25.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_19.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_171.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_238.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_166.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_111.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_306.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_28.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_74.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_23.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_30.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_255.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_86.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_352.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_107.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_52.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_123.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_285.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_112.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_116.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_60.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_9.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-200_24.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_122.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_54.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_127.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_221.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_100.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_330.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_14.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_127.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_78.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_75.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_137.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_174.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_152.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_87.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_181.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_282.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_13.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_258.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_96.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_283.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_303.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_159.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_387.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-100_79.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_245.csv
exp2_20x3_1#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-1#-1C-100_163.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_296.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_368.csv
exp2_20x3_6#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-6#-1C-200_184.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_309.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_128.csv
exp2_20x3_5#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-5#-1C-100_288.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-100_358.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_384.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_221.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-100_97.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_284.csv
exp2_20x3_4#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3-4#-1C-100_374.csv
exp2_ref_5#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-5#-1C-200_304.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_354.csv
exp2_20x3E_3#,1,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/20x3E-3#-1C-100_250.csv
exp2_ref_7#,0,/data/nfsdata/database/tsinghua_20230428/result/exp_2/data/ref-7#-1C-300_344.csv
